# Format of source catalog file:
#
# space delimited
#
# col1: ID number
# col2: redshift, z
# col3: r_eff [in arcsec]
# col4: sigma_e [per component, Bernstein & Jarvis 2002 ellipticity convention]
#
  24210 0.0000 0.1810 0.00200
  24291 0.0350 0.3700 0.09756
  24367 0.0000 0.2510 0.05529
  24400 0.0480 0.4310 0.04483
  24455 0.1420 0.2010 0.11947
  24478 0.1310 0.2400 0.03453
  24497 0.0000 0.2210 0.00128
  24544 0.0370 0.4120 0.05429
  24564 0.0000 0.1720 0.01683
  24668 0.1430 0.8670 0.00058
  24682 0.0000 0.2510 0.00310
  24695 0.0870 0.3660 0.12190
  24739 0.0000 0.1910 0.00063
  25015 0.0000 0.5810 0.00075
  25036 0.1390 0.1850 0.04545
  25059 0.0250 1.4890 0.07172
  25180 0.0350 0.7110 0.13298
  25214 0.0860 1.9310 0.05807
  25244 0.1080 1.6720 0.08607
  25273 0.0000 0.5960 0.00211
  25303 0.1460 1.4150 0.00154
  25338 0.0000 0.5250 0.00105
  25345 0.0860 0.4510 0.06836
  25474 0.1120 0.3240 0.10610
  25511 0.0000 0.1660 0.06061
  25673 0.0000 0.9480 0.00771
  25703 0.0000 0.1660 0.00368
  25734 0.0000 0.2610 0.00385
  25852 0.0290 0.8620 0.11692
  25860 0.0000 0.1400 0.06190
  25873 0.0000 0.4880 0.01981
  25959 0.1470 0.3850 0.11461
  26056 0.0000 0.1650 0.04013
  26126 0.1590 0.2040 0.12029
  26145 0.0680 0.2460 0.15463
  26149 0.0870 0.1580 0.16354
  26211 0.0000 0.1570 0.03239
  26358 0.0000 0.1560 0.18316
  26428 0.1330 0.3720 0.01219
  26492 0.0250 0.1970 0.11992
  26510 0.0000 0.5960 0.00061
  26554 0.0000 0.3690 0.01162
  26558 0.0000 0.3500 0.11165
  26575 0.1360 0.1810 0.08057
  26596 0.0000 0.6410 0.03110
  26637 0.0000 0.1830 0.00808
  26766 0.0000 0.2990 0.00284
  26815 0.0000 0.2620 0.00487
    405 0.3790 0.1710 0.05670
    456 0.2790 0.3030 0.05460
    474 0.3420 0.4270 0.06314
    491 0.2220 0.1140 0.04318
    501 0.2830 0.2330 0.03214
    574 0.2650 0.1460 0.17010
    578 0.3710 0.2230 0.01187
    638 0.3510 0.3030 0.07236
    649 0.2970 0.1680 0.04620
    662 0.3690 0.2990 0.04118
    702 0.3670 0.1350 0.12757
    730 0.2480 0.3630 0.12985
   1009 0.2730 0.1220 0.18591
   1024 0.3700 0.3190 0.00698
   1053 0.2550 0.3170 0.09929
   1067 0.3520 0.7490 0.01665
   1102 0.2730 0.2260 0.06022
   1177 0.2630 0.2810 0.13340
   1211 0.2890 0.1380 0.08422
   1214 0.3940 0.2870 0.00255
